order_number,order_time,product_code,store_number,quantity_ordered,price,discount,margin,status,fulfillment_time,returned,payment_type
1042,2018-10-07 15:39:47.646987,PXC,412,7,28.99,0.0,0.7,SHIPPED,52,false,CASH
1043,2018-10-07 22:03:47.646987,QWE,158,3,99.99,0.1,0.52,SHIPPED,31,false,CASH
1044,2018-10-08 02:38:47.646987,PXC,158,2,8.49,0.0,0.65,SHIPPED,59,false,CREDIT
1045,2018-10-08 05:57:47.646987,DAS,177,6,1.75,0.0,0.37,SHIPPED,49,false,CASH
1046,2018-10-08 11:12:47.646987,DAS,191,7,28.99,0.0,0.08,SHIPPED,26,false,CASH
1047,2018-10-08 14:42:47.646987,HRE,412,3,11.5,0.0,0.65,SHIPPED,52,false,CASH
1048,2018-10-08 20:37:47.646987,QWE,182,4,42.42,0.0,0.34,SHIPPED,43,false,CASH
1049,2018-10-09 02:22:47.646987,HRE,177,6,1.75,0.0,0.54,SHIPPED,53,false,CASH
1050,2018-10-09 10:09:47.646987,DAS,191,3,8.49,0.0,0.5,SHIPPED,47,false,CASH
1051,2018-10-09 14:27:47.646987,QRT,182,7,28.99,0.0,0.52,SHIPPED,49,false,CASH
1052,2018-10-09 18:00:47.646987,HRE,412,1,99.99,0.2,0.64,SHIPPED,46,false,CASH
1053,2018-10-09 20:58:47.646987,BGT,163,5,8.49,0.0,0.09,SHIPPED,58,false,CASH
1054,2018-10-09 22:49:47.646987,LAM,191,7,8.49,0.15,0.23,SHIPPED,63,false,CREDIT
1055,2018-10-10 00:08:47.646987,DAS,191,4,4.99,0.0,0.64,SHIPPED,46,false,CASH
1056,2018-10-10 07:27:47.646987,LAM,163,1,1.75,0.0,0.69,SHIPPED,46,false,CASH
1057,2018-10-10 09:56:47.646987,BGT,412,1,99.99,0.1,0.43,SHIPPED,45,true,CASH
1058,2018-10-10 16:03:47.646987,QRT,191,5,1.75,0.0,0.21,SHIPPED,44,false,CASH
1059,2018-10-10 16:06:47.646987,BGT,191,4,99.99,0.0,0.33,SHIPPED,47,false,CASH
1060,2018-10-10 19:56:47.646987,QWE,163,1,4.99,0.0,0.18,SHIPPED,52,false,CASH
1061,2018-10-11 02:27:47.646987,PXC,191,7,4.99,0.0,0.45,SHIPPED,70,false,CASH
1062,2018-10-11 08:20:47.646987,DAS,158,3,11.5,0.0,0.11,SHIPPED,44,false,CASH
1063,2018-10-11 08:50:47.646987,DAS,163,4,11.5,0.0,0.06,SHIPPED,36,false,CASH
1064,2018-10-11 11:01:47.646987,QRT,412,7,99.99,0.0,0.22,SHIPPED,33,false,CASH
1065,2018-10-11 14:05:47.646987,DAS,177,7,28.99,0.0,0.18,SHIPPED,52,false,CASH
1066,2018-10-11 21:23:47.646987,QRT,177,7,8.49,0.0,0.07,SHIPPED,37,true,CASH
1067,2018-10-12 03:36:47.646987,LAM,158,7,11.5,0.0,0.72,SHIPPED,44,false,CASH
1068,2018-10-12 04:46:47.646987,QWE,163,1,8.49,0.0,0.8,SHIPPED,35,false,CASH
1069,2018-10-12 12:25:47.646987,QWE,191,3,4.99,0.0,0.42,SHIPPED,61,false,CASH
1070,2018-10-12 16:51:47.646987,HRE,412,1,11.5,0.0,0.19,SHIPPED,49,false,CASH
1071,2018-10-12 21:46:47.646987,QRT,182,6,4.99,0.0,0.07,SHIPPED,46,false,CASH
1072,2018-10-13 00:21:47.646987,LAM,163,7,99.99,0.0,0.25,SHIPPED,51,false,CASH
1073,2018-10-13 08:00:47.646987,QRT,177,3,4.99,0.0,0.2,PROCESSING,43,false,CASH
1074,2018-10-13 15:36:47.646987,BGT,177,1,4.99,0.0,0.29,SHIPPED,41,false,CASH
1075,2018-10-13 18:13:47.646987,DAS,412,4,42.42,0.15,0.34,SHIPPED,53,false,CASH
1076,2018-10-13 23:39:47.646987,DAS,412,1,28.99,0.0,0.35,SHIPPED,40,false,CASH
1077,2018-10-14 03:16:47.646987,QRT,182,6,99.99,0.0,-0.02,SHIPPED,44,false,INVOICE
1078,2018-10-14 09:30:47.646987,HRE,158,2,28.99,0.0,0.14,SHIPPED,34,false,CASH
1079,2018-10-14 10:04:47.646987,PXC,158,3,1.75,0.0,0.25,SHIPPED,42,false,CASH
1080,2018-10-14 10:59:47.646987,DAS,191,4,1.75,0.0,0.54,SHIPPED,67,false,CASH
1081,2018-10-14 16:56:47.646987,DAS,191,4,42.42,0.0,0.64,SHIPPED,37,false,CASH
1082,2018-10-14 21:07:47.646987,DAS,182,7,42.42,0.0,0.47,SHIPPED,39,false,CASH
1083,2018-10-14 23:12:47.646987,QWE,177,2,11.5,0.0,0.17,CANCELED,43,false,CASH
1084,2018-10-14 23:22:47.646987,BGT,158,6,4.99,0.0,-0.02,SHIPPED,49,false,CASH
1085,2018-10-15 05:50:47.646987,LAM,158,4,99.99,0.0,0.81,SHIPPED,54,false,CASH
